CBuff::IsPrty                                             0x004090C0 00000016 R... B..
CBuff::UpdateBuff                                         0x00402580 00000039 R... B..
CBuff::_CBuff                                             0x004025F0 00000014 R... B..
CBuff::_scalar_deleting_destructor_                       0x004025C0 0000002C R... B..
CCalendar::CCalendar                                      0x0040A620 0000001F R... B..
CCalendar::ElapseTime                                     0x0040A770 00000211 R... B..
CCalendar::GetTime                                        0x0040A730 00000013 R... B..
CCalendar::IsIntercalary                                  0x0040A990 00000072 R... B..
CCalendar::OnTimer                                        0x0040A750 00000015 R... B..
CCalendar::Start                                          0x0040A690 00000090 R... B..
CCalendar::Stop                                           0x0040A720 0000000F R... B..
CCalendar::_CCalendar                                     0x0040A670 0000001C R... B..
CCalendar::_scalar_deleting_destructor_                   0x0040A640 0000002C R... B..
CCallLitning::CCallLitning                                0x0048E8C0 0000000F R......
CCallLitning::GetMagic                                    0x004841B0 000002EC R......
CCase::CCase                                              0x0047D100 00000004 R......
CCase::_CCase                                             0x0047B5F0 00000226 R......
CCastle::AddTax                                           0x0041B700 00000065 R... B..
CCastle::BrokenStandard                                   0x0041B270 000000E2 R... B..
CCastle::CCastle                                          0x00419940 000000B6 R... B..
CCastle::ChangeGuildName                                  0x0041BBD0 000000AA R... B..
CCastle::ChangeLeaderName                                 0x0041BB20 000000AA R... B..
CCastle::ChangeLord                                       0x0041C210 00000100 R... B..
CCastle::CreateGate                                       0x0041B3F0 0000008B R... B..
CCastle::CreateNoExistGate                                0x0041B480 000000FB R... B..
CCastle::CreateStandard                                   0x0041B360 0000008D R... B..
CCastle::GateGoto                                         0x0041BA30 0000005A R... B..
CCastle::GetCastle                                        0x0041A3B0 00000049 R... B..
CCastle::GetMonsterTile2CID                               0x0041A400 000000AE R... B..
CCastle::GetStandardUnfurl                                0x0041B0A0 0000002D R... B..
CCastle::GetTax                                           0x0041B6D0 0000002D R... B..
CCastle::GetTaxRate                                       0x0041B610 0000002D R... B..
CCastle::GetWarSize                                       0x0041AD90 00000050 R... B..
CCastle::IsAllCastleWarRelation                           0x0041A670 00000113 R... B..
CCastle::IsAlliance                                       0x0041A5B0 00000056 R... B..
CCastle::IsAlreadyDeclare                                 0x0041A610 0000005D R... B..
CCastle::IsGateAlive                                      0x0041B580 00000081 R... B..
CCastle::IsGateUse                                        0x0041B860 00000106 R... B..
CCastle::IsGateUseWarring                                 0x0041B970 000000B8 R... B..
CCastle::IsLord                                           0x0041A570 00000037 R... B..
CCastle::IsPayment                                        0x0041B690 00000033 R... B..
CCastle::IsStandardAlive                                  0x0041B060 00000033 R... B..
CCastle::IsWarDeclared                                    0x0041C310 00000062 R... B..
CCastle::IsWarEnd                                         0x0041C180 00000089 R... B..
CCastle::Load                                             0x00419B30 0000024F R... B..
CCastle::Login                                            0x0041A790 00000376 R... B..
CCastle::OnDelete                                         0x0041A300 00000063 R... B..
CCastle::ResetTax                                         0x0041B770 0000004E R... B..
CCastle::SecondProcess                                    0x0041BCE0 000001FC R... B..
CCastle::SetCurStandardGuild                              0x0041B100 00000055 R... B..
CCastle::SetGateLimit                                     0x0041BA90 00000057 R... B..
CCastle::SetGuild                                         0x0041A370 00000038 R... B..
CCastle::SetLordDeclare                                   0x0041BC80 00000051 R... B..
CCastle::SetStandardUnfurl                                0x0041B0D0 0000002A R... B..
CCastle::SetTaxRate                                       0x0041B640 00000042 R... B..
CCastle::SetWarGuild                                      0x00419D80 00000083 R... B..
CCastle::SetWarRemainSecondTime                           0x0041BAF0 00000021 R... B..
CCastle::Start                                            0x00419A60 00000042 R... B..
CCastle::Stop                                             0x00419AB0 00000076 R... B..
CCastle::SubGateState                                     0x0041A4B0 000000BB R... B..
CCastle::TaxSave                                          0x0041B7C0 00000091 R... B..
CCastle::UnfurlStandardCancel                             0x0041B160 00000102 R... B..
CCastle::WarADD                                           0x0041AC80 0000010B R... B..
CCastle::WarAllianceADD                                   0x0041AB10 00000167 R... B..
CCastle::WarBegin                                         0x00419E10 00000218 R... B..
CCastle::WarDelcareList                                   0x0041ADE0 00000272 R... B..
CCastle::WarEnd                                           0x0041BEE0 00000296 R... B..
CCastle::WarList                                          0x0041A1A0 0000015C R... B..
CCastle::WarMsg                                           0x0041A170 0000002D R... B..
CCastle::WarPortal                                        0x0041A030 0000009F R... B..
CCastle::_CCastle                                         0x00419A30 00000027 R... B..
CCastle::_WarMsg                                          0x0041A0D0 00000099 R... B..
CCastle::_scalar_deleting_destructor_                     0x00419A00 0000002C R... B..
CCellMap::AllocTile                                       0x00490280 00000042 R......
CCellMap::GetClosestPlayer                                0x00490F90 0000007A R......
CCellMap::GetLock                                         0x0043E440 0000002C R... B..
CCellMap::GetLockRect                                     0x004904E0 000000F5 R......
CCellMap::GetPlayerList                                   0x00490E00 0000006C R... B..
CCellMap::GetPlayerMonsterList                            0x00490EC0 0000001E R......
CCellMap::GetRWLockRect                                   0x00490830 000000A5 R... B..
CCellMap::GetTile                                         0x00438220 00000026 R... B..
CCellMap::IsMoveTile                                      0x0043E320 000000FD R... B..
CCellMap::IsOnTile                                        0x0045CDF0 00000054 R... B..
CCellMap::IsValidTile                                     0x004381C0 00000058 R... B..
CCellMap::ReadLock                                        0x00490430 0000003B R......
CCellMap::ReadTileAttr                                    0x00490370 0000000A R......
CCellMap::ReadUnlock                                      0x004905E0 000000AE R... B..
CCellMap::ReadWriteLock                                   0x00490690 000000EB R......
CCellMap::SendCreate                                      0x00490CA0 0000002C R......
CCellMap::SendDelete                                      0x00490B40 00000083 R......
CCellMap::_CCellMap                                       0x00490120 00000080 R... B..
CChainLitning::CChainLitning                              0x0048E9E0 0000000F R......
CChainLitning::GetAddValueType                            0x0048EA00 0000000F R......
CChainLitning::GetMagic                                   0x004856D0 000000EF R... B..
CChainLitning::GetResistNum                               0x0048FEA0 0000001A R......
CChainLitning::Redistribute                               0x004857C0 00000080 R... B..
CChangeVitality::CChangeVitality                          0x0048F3B0 0000000C R......
CChangeVitality::GetSpendMP                               0x00489980 00000082 R......
CChantAccuracy::CChantAccuracy                            0x0048F920 0000000F R......
CChantAccuracy::CanSkillUp                                0x0048B100 00000064 R......
CChantBattle::CChantBattle                                0x0048F940 0000001F R... B..
CChantBattle::CanSkillUp                                  0x004862B0 00000033 R......
CChantDefFire::CChantDefFire                              0x0048F900 00000010 R... B..
CChantDefFire::CanSkillUp                                 0x0048B010 000000C4 R......
CChantDefLightning::CChantDefLightning                    0x0048F8C0 00000034 R......
CChantDefLightning::CreateBuff                            0x0048AFE0 00000030 R... B..
CChantHealing::CChantHealing                              0x0048F8A0 0000000F R......
CChantHealing::CanSkillUp                                 0x0048AF80 00000007 R......
CChantHealing::CreateBuff                                 0x0048AF50 00000004 R......
CChantProtect::CChantProtect                              0x0048F860 00000010 R... B..
CChantProtect::CanSkillUp                                 0x0048AEF0 00000060 R......
CChantProtect::CreateBuff                                 0x0048AEB0 00000020 R......
CChant::CChant                                            0x0048F880 0000000F R......
CChant::Excute                                            0x0048AD60 00000031 R......
CChar::AddBuff                                            0x0040B3D0 000000CF R... B..
CChar::AddGState                                          0x00409910 0000002A R... B..
CChar::AddMState                                          0x0040ABE0 00000031 R... B..
CChar::AddMStateEx                                        0x0040AC50 0000002A R... B..
CChar::CChar                                              0x0040AA10 0000019F R... B..
CChar::CancelAllBuff                                      0x0040B750 00000090 R... B..
CChar::CancelBuff                                         0x0040B6A0 000000A8 R... B..
CChar::CancelBuffPrty                                     0x0040B870 000000A8 R... B..
CChar::CheckHit                                           0x0043DA00 00000152 R... B..
CChar::DeleteAllBuff                                      0x0040B7E0 00000081 R... B..
CChar::GetASpeed                                          0x0043D8E0 00000084 R... B..
CChar::GetAbsorb                                          0x00438F70 0000002F R... B..
CChar::GetAttack                                          0x0043D970 0000002D R... B..
CChar::GetBuffRemain                                      0x0040B4E0 00000053 R... B..
CChar::GetDefense                                         0x00438F30 0000003F R... B..
CChar::GetDex                                             0x0043BF20 00000036 R... B..
CChar::GetDodge                                           0x0043DB90 00000029 R... B..
CChar::GetDropPt                                          0x0040B060 000000AF R... B..
CChar::GetFatalDamage                                     0x0043EAC0 00000072 R... B..
CChar::GetFinalAbsorb                                     0x0040AD20 00000015 R... B..
CChar::GetFinalDamage                                     0x0043AD50 00000155 R... B..
CChar::GetFinalDefense                                    0x0040ACF0 00000024 R... B..
CChar::GetFinalResist                                     0x0040AD40 00000021 R... B..
CChar::GetHit                                             0x0043DB60 00000029 R... B..
CChar::GetHth                                             0x0043BE60 00000036 R... B..
CChar::GetInt                                             0x0043BEA0 00000036 R... B..
CChar::GetMSpeed                                          0x0040AD70 00000012 R... B..
CChar::GetMagic                                           0x004835F0 00000072 R......
CChar::GetMaxAttack                                       0x0043D9D0 0000002F R... B..
CChar::GetMaxHP                                           0x0043A200 00000033 R... B..
CChar::GetMaxMP                                           0x0043AF90 00000033 R... B..
CChar::GetMaxMagic                                        0x00458240 0000002F R... B..
CChar::GetMinAttack                                       0x0043D9A0 0000002F R... B..
CChar::GetMinMagic                                        0x00458210 0000002F R... B..
CChar::GetResist                                          0x00438FA0 0000001A R... B..
CChar::GetStr                                             0x0043BE20 00000036 R... B..
CChar::GetWis                                             0x0043BEE0 00000036 R... B..
CChar::Index                                              0x0040ABB0 0000001E R... B..
CChar::IsBState                                           0x00409720 00000024 R... B..
CChar::IsGState                                           0x0040B310 00000019 R... B..
CChar::IsGStateExcept                                     0x0045F640 0000001B R... B..
CChar::IsMState                                           0x00406BA0 00000024 R... B..
CChar::IsMStateEx                                         0x00409310 00000019 R... B..
CChar::IsNormal                                           0x0040B280 00000063 R... B..
CChar::Lock                                               0x00412E90 00000019 R... B..
CChar::RefreshBuff                                        0x0040B5F0 000000AE R... B..
CChar::ResetAllBuff                                       0x0040B920 00000056 R... B..
CChar::ReviseProperty                                     0x0040AE20 0000023C R... B..
CChar::SaveAllBuff                                        0x0040B980 00000057 R... B..
CChar::SetBuff                                            0x0040B330 0000009F R... B..
